category	percentage	group_label	percentage_label
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	0.0435079926297637	mashr_Brain_Amygdala	4%
SNP	0.956492007370236	mashr_Brain_Amygdala	96%
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	0.0660720183529922	mashr_Brain_Anterior_cingulate_cortex_BA24	7%
SNP	0.933927981647008	mashr_Brain_Anterior_cingulate_cortex_BA24	93%
mashr_Brain_Caudate_basal_ganglia|predixcan_mashr_eqtl_eqtl	0.072808375622692	mashr_Brain_Caudate_basal_ganglia	7%
SNP	0.927191624377308	mashr_Brain_Caudate_basal_ganglia	93%
mashr_Colon_Sigmoid|predixcan_mashr_eqtl_eqtl	0.0934043206354005	mashr_Colon_Sigmoid	9%
SNP	0.9065956793646	mashr_Colon_Sigmoid	91%
mashr_Colon_Transverse|predixcan_mashr_eqtl_eqtl	0.0967652286335661	mashr_Colon_Transverse	10%
SNP	0.903234771366434	mashr_Colon_Transverse	90%
mashr_Small_Intestine_Terminal_Ileum|predixcan_mashr_eqtl_eqtl	0.0882378560955659	mashr_Small_Intestine_Terminal_Ileum	9%
SNP	0.911762143904434	mashr_Small_Intestine_Terminal_Ileum	91%
mashr_Whole_Blood|predixcan_mashr_eqtl_eqtl	0.102229630875384	mashr_Whole_Blood	10%
SNP	0.897770369124616	mashr_Whole_Blood	90%
mashr_Spleen|predixcan_mashr_eqtl_eqtl	0.110632412104097	mashr_Spleen	11%
SNP	0.889367587895903	mashr_Spleen	89%
mashr_Cells_EBV-transformed_lymphocytes|predixcan_mashr_eqtl_eqtl	0.0714046443792336	mashr_Cells_EBV-transformed_lymphocytes	7%
SNP	0.928595355620766	mashr_Cells_EBV-transformed_lymphocytes	93%
mashr_Cells_Cultured_fibroblasts|predixcan_mashr_eqtl_eqtl	0.0769260895242767	mashr_Cells_Cultured_fibroblasts	8%
SNP	0.923073910475723	mashr_Cells_Cultured_fibroblasts	92%
mashr_Adipose_Subcutaneous|predixcan_mashr_eqtl_eqtl	0.101030117509628	mashr_Adipose_Subcutaneous	10%
SNP	0.898969882490372	mashr_Adipose_Subcutaneous	90%
mashr_Adipose_Visceral_Omentum|predixcan_mashr_eqtl_eqtl	0.100597472912381	mashr_Adipose_Visceral_Omentum	10%
SNP	0.899402527087619	mashr_Adipose_Visceral_Omentum	90%
mashr_Liver|predixcan_mashr_eqtl_eqtl	0.16864116835857	mashr_Liver	17%
SNP	0.83135883164143	mashr_Liver	83%
mashr_Pancreas|predixcan_mashr_eqtl_eqtl	0.0929359069766369	mashr_Pancreas	9%
SNP	0.907064093023363	mashr_Pancreas	91%
mashr_Artery_Aorta|predixcan_mashr_eqtl_eqtl	0.0932889023250459	mashr_Artery_Aorta	9%
SNP	0.906711097674954	mashr_Artery_Aorta	91%
mashr_Artery_Coronary|predixcan_mashr_eqtl_eqtl	0.0748339559913934	mashr_Artery_Coronary	7%
SNP	0.925166044008607	mashr_Artery_Coronary	93%
mashr_Artery_Tibial|predixcan_mashr_eqtl_eqtl	0.101194619348794	mashr_Artery_Tibial	10%
SNP	0.898805380651206	mashr_Artery_Tibial	90%
mashr_Heart_Atrial_Appendage|predixcan_mashr_eqtl_eqtl	0.0825798708136311	mashr_Heart_Atrial_Appendage	8%
SNP	0.917420129186369	mashr_Heart_Atrial_Appendage	92%
mashr_Heart_Left_Ventricle|predixcan_mashr_eqtl_eqtl	0.0566640602826309	mashr_Heart_Left_Ventricle	6%
SNP	0.943335939717369	mashr_Heart_Left_Ventricle	94%
mashr_Kidney_Cortex|predixcan_mashr_eqtl_eqtl	0.0470699131360824	mashr_Kidney_Cortex	5%
SNP	0.952930086863918	mashr_Kidney_Cortex	95%
mashr_Muscle_Skeletal|predixcan_mashr_eqtl_eqtl	0.0739761940914844	mashr_Muscle_Skeletal	7%
SNP	0.926023805908516	mashr_Muscle_Skeletal	93%
mashr_Nerve_Tibial|predixcan_mashr_eqtl_eqtl	0.0784549259332576	mashr_Nerve_Tibial	8%
SNP	0.921545074066742	mashr_Nerve_Tibial	92%
mashr_Pituitary|predixcan_mashr_eqtl_eqtl	0.0787274200721348	mashr_Pituitary	8%
SNP	0.921272579927865	mashr_Pituitary	92%
