category	percentage	group_label	percentage_label
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	0.000167364728686767	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	1.20166749061018e-06	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Brain_Caudate_basal_ganglia|predixcan_mashr_eqtl_eqtl	4.18721252638304e-11	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Colon_Sigmoid|predixcan_mashr_eqtl_eqtl	0.0131691381332966	All_Tissue_predixcan_predixcan_mashr_eqtl	1%
mashr_Colon_Transverse|predixcan_mashr_eqtl_eqtl	0.0144831398498433	All_Tissue_predixcan_predixcan_mashr_eqtl	1%
mashr_Small_Intestine_Terminal_Ileum|predixcan_mashr_eqtl_eqtl	0.0148680172127511	All_Tissue_predixcan_predixcan_mashr_eqtl	1%
mashr_Whole_Blood|predixcan_mashr_eqtl_eqtl	0.0365513250643622	All_Tissue_predixcan_predixcan_mashr_eqtl	4%
mashr_Spleen|predixcan_mashr_eqtl_eqtl	0.00124781195526708	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Cells_EBV-transformed_lymphocytes|predixcan_mashr_eqtl_eqtl	0.0108494313320384	All_Tissue_predixcan_predixcan_mashr_eqtl	1%
mashr_Cells_Cultured_fibroblasts|predixcan_mashr_eqtl_eqtl	0.0351894451417088	All_Tissue_predixcan_predixcan_mashr_eqtl	4%
mashr_Adipose_Subcutaneous|predixcan_mashr_eqtl_eqtl	0.0189862048949393	All_Tissue_predixcan_predixcan_mashr_eqtl	2%
mashr_Adipose_Visceral_Omentum|predixcan_mashr_eqtl_eqtl	0.00442737228202513	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Liver|predixcan_mashr_eqtl_eqtl	0.0178876109884793	All_Tissue_predixcan_predixcan_mashr_eqtl	2%
mashr_Pancreas|predixcan_mashr_eqtl_eqtl	0.00342097005024765	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Artery_Aorta|predixcan_mashr_eqtl_eqtl	1.39611626018709e-08	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Artery_Coronary|predixcan_mashr_eqtl_eqtl	2.49648999640742e-05	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Artery_Tibial|predixcan_mashr_eqtl_eqtl	1.37961682643331e-08	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Heart_Atrial_Appendage|predixcan_mashr_eqtl_eqtl	1.2936309862499e-09	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Heart_Left_Ventricle|predixcan_mashr_eqtl_eqtl	0.0295883522898642	All_Tissue_predixcan_predixcan_mashr_eqtl	3%
mashr_Kidney_Cortex|predixcan_mashr_eqtl_eqtl	1.16887086244494e-09	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Muscle_Skeletal|predixcan_mashr_eqtl_eqtl	0.000417751481148136	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Nerve_Tibial|predixcan_mashr_eqtl_eqtl	0.0158528023714975	All_Tissue_predixcan_predixcan_mashr_eqtl	2%
mashr_Pituitary|predixcan_mashr_eqtl_eqtl	0.00898272937746715	All_Tissue_predixcan_predixcan_mashr_eqtl	1%
SNP	0.773884336017218	All_Tissue_predixcan_predixcan_mashr_eqtl	77%
