category	percentage	group_label	percentage_label
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	0.00068965088914522	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	0.00339338238944475	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Brain_Caudate_basal_ganglia|predixcan_mashr_eqtl_eqtl	1.26414585396141e-05	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Colon_Sigmoid|predixcan_mashr_eqtl_eqtl	8.80053898433511e-12	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Colon_Transverse|predixcan_mashr_eqtl_eqtl	0.00494691501061211	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Small_Intestine_Terminal_Ileum|predixcan_mashr_eqtl_eqtl	0.00267091663955008	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Whole_Blood|predixcan_mashr_eqtl_eqtl	0.0115278875565795	All_Tissue_predixcan_predixcan_mashr_eqtl	1%
mashr_Spleen|predixcan_mashr_eqtl_eqtl	0.0179310244900975	All_Tissue_predixcan_predixcan_mashr_eqtl	2%
mashr_Cells_EBV-transformed_lymphocytes|predixcan_mashr_eqtl_eqtl	0.00117345260192327	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Cells_Cultured_fibroblasts|predixcan_mashr_eqtl_eqtl	0.0359986232911337	All_Tissue_predixcan_predixcan_mashr_eqtl	4%
mashr_Adipose_Subcutaneous|predixcan_mashr_eqtl_eqtl	0.0070463831303052	All_Tissue_predixcan_predixcan_mashr_eqtl	1%
mashr_Adipose_Visceral_Omentum|predixcan_mashr_eqtl_eqtl	0.00938325409649974	All_Tissue_predixcan_predixcan_mashr_eqtl	1%
mashr_Liver|predixcan_mashr_eqtl_eqtl	8.66392212274665e-10	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Pancreas|predixcan_mashr_eqtl_eqtl	0.0211805756342486	All_Tissue_predixcan_predixcan_mashr_eqtl	2%
mashr_Artery_Aorta|predixcan_mashr_eqtl_eqtl	0.0180956190098333	All_Tissue_predixcan_predixcan_mashr_eqtl	2%
mashr_Artery_Coronary|predixcan_mashr_eqtl_eqtl	0.0152472273597413	All_Tissue_predixcan_predixcan_mashr_eqtl	2%
mashr_Artery_Tibial|predixcan_mashr_eqtl_eqtl	0.0376536870834265	All_Tissue_predixcan_predixcan_mashr_eqtl	4%
mashr_Heart_Atrial_Appendage|predixcan_mashr_eqtl_eqtl	0.00836573509994444	All_Tissue_predixcan_predixcan_mashr_eqtl	1%
mashr_Heart_Left_Ventricle|predixcan_mashr_eqtl_eqtl	0.00720098979670005	All_Tissue_predixcan_predixcan_mashr_eqtl	1%
mashr_Kidney_Cortex|predixcan_mashr_eqtl_eqtl	2.70023078515464e-06	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Muscle_Skeletal|predixcan_mashr_eqtl_eqtl	0.0219659108979645	All_Tissue_predixcan_predixcan_mashr_eqtl	2%
mashr_Nerve_Tibial|predixcan_mashr_eqtl_eqtl	0.0165078391338695	All_Tissue_predixcan_predixcan_mashr_eqtl	2%
mashr_Pituitary|predixcan_mashr_eqtl_eqtl	0.00632781853998298	All_Tissue_predixcan_predixcan_mashr_eqtl	1%
SNP	0.75267776478448	All_Tissue_predixcan_predixcan_mashr_eqtl	75%
