name	score	category	group_label	label
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	9027	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	9690	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Brain_Caudate_basal_ganglia|predixcan_mashr_eqtl_eqtl	10291	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Colon_Sigmoid|predixcan_mashr_eqtl_eqtl	10732	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Colon_Transverse|predixcan_mashr_eqtl_eqtl	10947	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Small_Intestine_Terminal_Ileum|predixcan_mashr_eqtl_eqtl	10123	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Whole_Blood|predixcan_mashr_eqtl_eqtl	9660	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Spleen|predixcan_mashr_eqtl_eqtl	10451	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Cells_EBV-transformed_lymphocytes|predixcan_mashr_eqtl_eqtl	8857	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Cells_Cultured_fibroblasts|predixcan_mashr_eqtl_eqtl	10975	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Adipose_Subcutaneous|predixcan_mashr_eqtl_eqtl	11364	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Adipose_Visceral_Omentum|predixcan_mashr_eqtl_eqtl	11068	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Liver|predixcan_mashr_eqtl_eqtl	9159	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Pancreas|predixcan_mashr_eqtl_eqtl	10176	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Artery_Aorta|predixcan_mashr_eqtl_eqtl	11043	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Artery_Coronary|predixcan_mashr_eqtl_eqtl	10094	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Artery_Tibial|predixcan_mashr_eqtl_eqtl	11303	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Heart_Atrial_Appendage|predixcan_mashr_eqtl_eqtl	10591	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Heart_Left_Ventricle|predixcan_mashr_eqtl_eqtl	9905	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Kidney_Cortex|predixcan_mashr_eqtl_eqtl	7589	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Muscle_Skeletal|predixcan_mashr_eqtl_eqtl	10455	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Nerve_Tibial|predixcan_mashr_eqtl_eqtl	12041	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Pituitary|predixcan_mashr_eqtl_eqtl	10809	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
SNP	6432754	group_size	All_Tissue_predixcan_predixcan_mashr_eqtl	SNP_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	7.4326990276468e-05	group_prior	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	0.000340698101777919	group_prior	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Brain_Caudate_basal_ganglia|predixcan_mashr_eqtl_eqtl	1.19508912844201e-06	group_prior	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Colon_Sigmoid|predixcan_mashr_eqtl_eqtl	7.97791300715286e-13	group_prior	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Colon_Transverse|predixcan_mashr_eqtl_eqtl	0.000439642855842165	group_prior	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Small_Intestine_Terminal_Ileum|predixcan_mashr_eqtl_eqtl	0.000256691676316156	group_prior	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Whole_Blood|predixcan_mashr_eqtl_eqtl	0.00116100287329505	group_prior	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Spleen|predixcan_mashr_eqtl_eqtl	0.00166919834420563	group_prior	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Cells_EBV-transformed_lymphocytes|predixcan_mashr_eqtl_eqtl	0.000128896046494536	group_prior	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Cells_Cultured_fibroblasts|predixcan_mashr_eqtl_eqtl	0.00319111203997784	group_prior	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Adipose_Subcutaneous|predixcan_mashr_eqtl_eqtl	0.000603247759276569	group_prior	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Adipose_Visceral_Omentum|predixcan_mashr_eqtl_eqtl	0.000824793093884788	group_prior	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Liver|predixcan_mashr_eqtl_eqtl	9.20295228113862e-11	group_prior	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Pancreas|predixcan_mashr_eqtl_eqtl	0.0020249828522083	group_prior	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Artery_Aorta|predixcan_mashr_eqtl_eqtl	0.00159421562373822	group_prior	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Artery_Coronary|predixcan_mashr_eqtl_eqtl	0.00146956319033637	group_prior	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Artery_Tibial|predixcan_mashr_eqtl_eqtl	0.00324096596857091	group_prior	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
