category	percentage	group_label	percentage_label
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	0.0380762490974104	mashr_Brain_Amygdala	4%
SNP	0.96192375090259	mashr_Brain_Amygdala	96%
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	0.0168982018479743	mashr_Brain_Anterior_cingulate_cortex_BA24	2%
SNP	0.983101798152026	mashr_Brain_Anterior_cingulate_cortex_BA24	98%
mashr_Brain_Caudate_basal_ganglia|predixcan_mashr_eqtl_eqtl	0.0303911726264891	mashr_Brain_Caudate_basal_ganglia	3%
SNP	0.969608827373511	mashr_Brain_Caudate_basal_ganglia	97%
mashr_Colon_Sigmoid|predixcan_mashr_eqtl_eqtl	0.0568001622097113	mashr_Colon_Sigmoid	6%
SNP	0.943199837790289	mashr_Colon_Sigmoid	94%
mashr_Colon_Transverse|predixcan_mashr_eqtl_eqtl	0.0434651082252364	mashr_Colon_Transverse	4%
SNP	0.956534891774764	mashr_Colon_Transverse	96%
mashr_Small_Intestine_Terminal_Ileum|predixcan_mashr_eqtl_eqtl	0.0580554009332919	mashr_Small_Intestine_Terminal_Ileum	6%
SNP	0.941944599066708	mashr_Small_Intestine_Terminal_Ileum	94%
mashr_Whole_Blood|predixcan_mashr_eqtl_eqtl	0.0601055641026852	mashr_Whole_Blood	6%
SNP	0.939894435897315	mashr_Whole_Blood	94%
mashr_Spleen|predixcan_mashr_eqtl_eqtl	0.0498054750399838	mashr_Spleen	5%
SNP	0.950194524960016	mashr_Spleen	95%
mashr_Cells_EBV-transformed_lymphocytes|predixcan_mashr_eqtl_eqtl	0.0341243016993205	mashr_Cells_EBV-transformed_lymphocytes	3%
SNP	0.965875698300679	mashr_Cells_EBV-transformed_lymphocytes	97%
mashr_Cells_Cultured_fibroblasts|predixcan_mashr_eqtl_eqtl	0.0635579731686789	mashr_Cells_Cultured_fibroblasts	6%
SNP	0.936442026831321	mashr_Cells_Cultured_fibroblasts	94%
mashr_Adipose_Subcutaneous|predixcan_mashr_eqtl_eqtl	0.0552645534188474	mashr_Adipose_Subcutaneous	6%
SNP	0.944735446581153	mashr_Adipose_Subcutaneous	94%
mashr_Adipose_Visceral_Omentum|predixcan_mashr_eqtl_eqtl	0.0400535053458201	mashr_Adipose_Visceral_Omentum	4%
SNP	0.95994649465418	mashr_Adipose_Visceral_Omentum	96%
mashr_Liver|predixcan_mashr_eqtl_eqtl	0.0442516208748996	mashr_Liver	4%
SNP	0.9557483791251	mashr_Liver	96%
mashr_Pancreas|predixcan_mashr_eqtl_eqtl	0.047367153286857	mashr_Pancreas	5%
SNP	0.952632846713143	mashr_Pancreas	95%
mashr_Artery_Aorta|predixcan_mashr_eqtl_eqtl	0.0313299329445837	mashr_Artery_Aorta	3%
SNP	0.968670067055416	mashr_Artery_Aorta	97%
mashr_Artery_Coronary|predixcan_mashr_eqtl_eqtl	0.0421579180019767	mashr_Artery_Coronary	4%
SNP	0.957842081998023	mashr_Artery_Coronary	96%
mashr_Artery_Tibial|predixcan_mashr_eqtl_eqtl	0.0360645359924251	mashr_Artery_Tibial	4%
SNP	0.963935464007575	mashr_Artery_Tibial	96%
mashr_Heart_Atrial_Appendage|predixcan_mashr_eqtl_eqtl	0.0458700526578585	mashr_Heart_Atrial_Appendage	5%
SNP	0.954129947342142	mashr_Heart_Atrial_Appendage	95%
mashr_Heart_Left_Ventricle|predixcan_mashr_eqtl_eqtl	0.0572835682246291	mashr_Heart_Left_Ventricle	6%
SNP	0.942716431775371	mashr_Heart_Left_Ventricle	94%
mashr_Kidney_Cortex|predixcan_mashr_eqtl_eqtl	0.0240523432970435	mashr_Kidney_Cortex	2%
SNP	0.975947656702956	mashr_Kidney_Cortex	98%
mashr_Muscle_Skeletal|predixcan_mashr_eqtl_eqtl	0.0361469642878702	mashr_Muscle_Skeletal	4%
SNP	0.96385303571213	mashr_Muscle_Skeletal	96%
mashr_Nerve_Tibial|predixcan_mashr_eqtl_eqtl	0.0520151670316061	mashr_Nerve_Tibial	5%
SNP	0.947984832968394	mashr_Nerve_Tibial	95%
mashr_Pituitary|predixcan_mashr_eqtl_eqtl	0.0541563896806406	mashr_Pituitary	5%
SNP	0.945843610319359	mashr_Pituitary	95%
