name	score	category	group_label	label
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	8861	group_size	mashr_Brain_Amygdala	gene_mashr_Brain_Amygdala
SNP	6436964	group_size	mashr_Brain_Amygdala	SNP_mashr_Brain_Amygdala
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	0.00274980917435818	group_prior	mashr_Brain_Amygdala	gene_mashr_Brain_Amygdala
SNP	9.56292394073821e-05	group_prior	mashr_Brain_Amygdala	SNP_mashr_Brain_Amygdala
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	23.4615605680871	group_prior_var	mashr_Brain_Amygdala	gene_mashr_Brain_Amygdala
SNP	23.4615605680871	group_prior_var	mashr_Brain_Amygdala	SNP_mashr_Brain_Amygdala
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	3.3588081722745	log_enrichment	mashr_Brain_Amygdala	gene_mashr_Brain_Amygdala
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	0.206281888170076	log_enrichment_se	mashr_Brain_Amygdala	gene_mashr_Brain_Amygdala
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	2.20561500104882e-26	enrichment_pval	mashr_Brain_Amygdala	gene_mashr_Brain_Amygdala
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	0.00953459598110624	group_pve	mashr_Brain_Amygdala	gene_mashr_Brain_Amygdala
SNP	0.240873367174978	group_pve	mashr_Brain_Amygdala	SNP_mashr_Brain_Amygdala
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	0.0380762490974104	prop_heritability	mashr_Brain_Amygdala	gene_mashr_Brain_Amygdala
SNP	0.96192375090259	prop_heritability	mashr_Brain_Amygdala	SNP_mashr_Brain_Amygdala
SNP	0.250407963156085	total_pve	mashr_Brain_Amygdala	SNP_mashr_Brain_Amygdala
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	9501	group_size	mashr_Brain_Anterior_cingulate_cortex_BA24	gene_mashr_Brain_Anterior_cingulate_cortex_BA24
SNP	6436964	group_size	mashr_Brain_Anterior_cingulate_cortex_BA24	SNP_mashr_Brain_Anterior_cingulate_cortex_BA24
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	0.00114250826431198	group_prior	mashr_Brain_Anterior_cingulate_cortex_BA24	gene_mashr_Brain_Anterior_cingulate_cortex_BA24
SNP	9.81082626491391e-05	group_prior	mashr_Brain_Anterior_cingulate_cortex_BA24	SNP_mashr_Brain_Anterior_cingulate_cortex_BA24
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	23.33186878051	group_prior_var	mashr_Brain_Anterior_cingulate_cortex_BA24	gene_mashr_Brain_Anterior_cingulate_cortex_BA24
SNP	23.33186878051	group_prior_var	mashr_Brain_Anterior_cingulate_cortex_BA24	SNP_mashr_Brain_Anterior_cingulate_cortex_BA24
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	2.45490976645062	log_enrichment	mashr_Brain_Anterior_cingulate_cortex_BA24	gene_mashr_Brain_Anterior_cingulate_cortex_BA24
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	0.305944058090299	log_enrichment_se	mashr_Brain_Anterior_cingulate_cortex_BA24	gene_mashr_Brain_Anterior_cingulate_cortex_BA24
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	5.46238465359885e-09	enrichment_pval	mashr_Brain_Anterior_cingulate_cortex_BA24	gene_mashr_Brain_Anterior_cingulate_cortex_BA24
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	0.0042241399575841	group_pve	mashr_Brain_Anterior_cingulate_cortex_BA24	gene_mashr_Brain_Anterior_cingulate_cortex_BA24
SNP	0.245751567255931	group_pve	mashr_Brain_Anterior_cingulate_cortex_BA24	SNP_mashr_Brain_Anterior_cingulate_cortex_BA24
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	0.0168982018479743	prop_heritability	mashr_Brain_Anterior_cingulate_cortex_BA24	gene_mashr_Brain_Anterior_cingulate_cortex_BA24
SNP	0.983101798152026	prop_heritability	mashr_Brain_Anterior_cingulate_cortex_BA24	SNP_mashr_Brain_Anterior_cingulate_cortex_BA24
