category	percentage	group_label	percentage_label
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	0.0363843035605611	mashr_Brain_Amygdala	4%
SNP	0.963615696439439	mashr_Brain_Amygdala	96%
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	0.0524555727150466	mashr_Brain_Anterior_cingulate_cortex_BA24	5%
SNP	0.947544427284953	mashr_Brain_Anterior_cingulate_cortex_BA24	95%
mashr_Brain_Caudate_basal_ganglia|predixcan_mashr_eqtl_eqtl	0.0496587359062746	mashr_Brain_Caudate_basal_ganglia	5%
SNP	0.950341264093725	mashr_Brain_Caudate_basal_ganglia	95%
mashr_Colon_Sigmoid|predixcan_mashr_eqtl_eqtl	0.041409703008224	mashr_Colon_Sigmoid	4%
SNP	0.958590296991776	mashr_Colon_Sigmoid	96%
mashr_Colon_Transverse|predixcan_mashr_eqtl_eqtl	0.0508545493809147	mashr_Colon_Transverse	5%
SNP	0.949145450619085	mashr_Colon_Transverse	95%
mashr_Small_Intestine_Terminal_Ileum|predixcan_mashr_eqtl_eqtl	0.0360596120326376	mashr_Small_Intestine_Terminal_Ileum	4%
SNP	0.963940387967362	mashr_Small_Intestine_Terminal_Ileum	96%
mashr_Whole_Blood|predixcan_mashr_eqtl_eqtl	0.0450055110262795	mashr_Whole_Blood	5%
SNP	0.95499448897372	mashr_Whole_Blood	95%
mashr_Spleen|predixcan_mashr_eqtl_eqtl	0.0764814339067974	mashr_Spleen	8%
SNP	0.923518566093203	mashr_Spleen	92%
mashr_Cells_EBV-transformed_lymphocytes|predixcan_mashr_eqtl_eqtl	0.0307678803099871	mashr_Cells_EBV-transformed_lymphocytes	3%
SNP	0.969232119690013	mashr_Cells_EBV-transformed_lymphocytes	97%
mashr_Cells_Cultured_fibroblasts|predixcan_mashr_eqtl_eqtl	0.0715686724003788	mashr_Cells_Cultured_fibroblasts	7%
SNP	0.928431327599621	mashr_Cells_Cultured_fibroblasts	93%
mashr_Adipose_Subcutaneous|predixcan_mashr_eqtl_eqtl	0.069861052580273	mashr_Adipose_Subcutaneous	7%
SNP	0.930138947419727	mashr_Adipose_Subcutaneous	93%
mashr_Adipose_Visceral_Omentum|predixcan_mashr_eqtl_eqtl	0.0583184240444623	mashr_Adipose_Visceral_Omentum	6%
SNP	0.941681575955538	mashr_Adipose_Visceral_Omentum	94%
mashr_Liver|predixcan_mashr_eqtl_eqtl	0.0297062063611864	mashr_Liver	3%
SNP	0.970293793638814	mashr_Liver	97%
mashr_Pancreas|predixcan_mashr_eqtl_eqtl	0.0697093184215669	mashr_Pancreas	7%
SNP	0.930290681578433	mashr_Pancreas	93%
mashr_Artery_Aorta|predixcan_mashr_eqtl_eqtl	0.0954414843684909	mashr_Artery_Aorta	10%
SNP	0.904558515631509	mashr_Artery_Aorta	90%
mashr_Artery_Coronary|predixcan_mashr_eqtl_eqtl	0.0632418264186074	mashr_Artery_Coronary	6%
SNP	0.936758173581393	mashr_Artery_Coronary	94%
mashr_Artery_Tibial|predixcan_mashr_eqtl_eqtl	0.0794646110140626	mashr_Artery_Tibial	8%
SNP	0.920535388985937	mashr_Artery_Tibial	92%
mashr_Heart_Atrial_Appendage|predixcan_mashr_eqtl_eqtl	0.0538231266784866	mashr_Heart_Atrial_Appendage	5%
SNP	0.946176873321513	mashr_Heart_Atrial_Appendage	95%
mashr_Heart_Left_Ventricle|predixcan_mashr_eqtl_eqtl	0.0520740143720284	mashr_Heart_Left_Ventricle	5%
SNP	0.947925985627972	mashr_Heart_Left_Ventricle	95%
mashr_Kidney_Cortex|predixcan_mashr_eqtl_eqtl	0.0292299809471438	mashr_Kidney_Cortex	3%
SNP	0.970770019052856	mashr_Kidney_Cortex	97%
mashr_Muscle_Skeletal|predixcan_mashr_eqtl_eqtl	0.066733846169855	mashr_Muscle_Skeletal	7%
SNP	0.933266153830145	mashr_Muscle_Skeletal	93%
mashr_Nerve_Tibial|predixcan_mashr_eqtl_eqtl	0.0553824429192018	mashr_Nerve_Tibial	6%
SNP	0.944617557080798	mashr_Nerve_Tibial	94%
mashr_Pituitary|predixcan_mashr_eqtl_eqtl	0.055666227038271	mashr_Pituitary	6%
SNP	0.944333772961729	mashr_Pituitary	94%
